layer,r_mean,r_std,lang,r_transf,r_random
7,0.2844996390059226,0.1107826921034633,fr,-0.013838817954334845,-0.10770941838928154
7,0.2844996390059226,0.1107826921034633,ro,0.29748546640616713,-0.12624355767215253
8,0.2824712274309632,0.1200265834392989,es,0.11315644430811847,-0.10267780116264852
8,0.2824712274309632,0.1200265834392989,mr,0.08177264899604252,0.35403197598617725
8,0.2824712274309632,0.1200265834392989,af,0.09749450604255917,-0.14641199852663606
8,0.2824712274309632,0.1200265834392989,vi,0.13923168088819876,0.08266686774076328
8,0.2824712274309632,0.1200265834392989,ta,0.26456241923710466,-0.19459736001102387
8,0.2824712274309632,0.1200265834392989,lt,0.35957519128544235,-0.04311891666981399
8,0.2824712274309632,0.1200265834392989,tr,0.3177143333224783,0.04683792263002632
8,0.2824712274309632,0.1200265834392989,nl,-0.05725940701237131,-0.011916849183443228
8,0.2824712274309632,0.1200265834392989,no,0.11654002001358406,0.050742847468662054
8,0.2824712274309632,0.1200265834392989,fa,0.3330078755819955,0.1773357289989096
8,0.2824712274309632,0.1200265834392989,fr,-0.019811372427796584,-0.08883899079618322
8,0.2824712274309632,0.1200265834392989,ro,0.28013089019274773,-0.12795733333324186
9,0.32695001864068146,0.12729483286608517,es,0.0909170741531873,-0.1330545906225359
9,0.32695001864068146,0.12729483286608517,mr,-0.09484526689751488,0.3484680932919206
9,0.32695001864068146,0.12729483286608517,af,0.15779505155808274,-0.1348924010587889
9,0.32695001864068146,0.12729483286608517,vi,0.133333601238783,0.07805871648141934
9,0.32695001864068146,0.12729483286608517,ta,0.30887389992711584,-0.237790131774691
9,0.32695001864068146,0.12729483286608517,lt,0.2847397228755236,-0.058793186065401605
9,0.32695001864068146,0.12729483286608517,tr,0.19311521357064454,0.07879972337902673
9,0.32695001864068146,0.12729483286608517,nl,0.05657535171602219,0.005692866837189067
9,0.32695001864068146,0.12729483286608517,no,0.0388742530190721,0.05183274562071899
9,0.32695001864068146,0.12729483286608517,fa,0.2290980621697485,0.15389260093029405
9,0.32695001864068146,0.12729483286608517,fr,-0.03362813455542802,-0.10254326196262034
9,0.32695001864068146,0.12729483286608517,ro,0.368331654190253,-0.15135495253898812
10,0.36811178597791083,0.12666155025573655,es,0.0264936972502075,-0.15314531789707417
10,0.36811178597791083,0.12666155025573655,mr,-0.029143959868361654,0.35207963790118374
10,0.36811178597791083,0.12666155025573655,af,0.17091753351167255,-0.21480462884017745
10,0.36811178597791083,0.12666155025573655,vi,0.16419341724552464,0.09346013919212143
10,0.36811178597791083,0.12666155025573655,ta,0.36773772091395085,-0.25019460251661224
10,0.36811178597791083,0.12666155025573655,lt,0.3271320804188211,-0.0873990789458165
10,0.36811178597791083,0.12666155025573655,tr,0.21114664502320252,0.11211327116417498
10,0.36811178597791083,0.12666155025573655,nl,0.04326895995309432,0.022332016300271356
10,0.36811178597791083,0.12666155025573655,no,0.09231440162050206,0.07581366803006513
10,0.36811178597791083,0.12666155025573655,fa,0.27770990401618795,0.1640880442376501
10,0.36811178597791083,0.12666155025573655,fr,0.11111063165656666,-0.1259344330383908
10,0.36811178597791083,0.12666155025573655,ro,0.34582495918937706,-0.15642338947240458
11,0.3809989891568633,0.1212739058574292,es,0.09538927658615731,-0.20774569202448345
11,0.3809989891568633,0.1212739058574292,mr,0.021348241736220828,0.2959173681688397
11,0.3809989891568633,0.1212739058574292,af,0.1852368086793279,-0.2292004063519933
11,0.3809989891568633,0.1212739058574292,vi,0.24404922518685696,0.060322099752214565
11,0.3809989891568633,0.1212739058574292,ta,0.3591771706911634,-0.24591268992653156
11,0.3809989891568633,0.1212739058574292,lt,0.27233215180392967,-0.12073144021531998
11,0.3809989891568633,0.1212739058574292,tr,0.17918143107540144,0.13346306768297286
11,0.3809989891568633,0.1212739058574292,nl,0.0046755107478331824,0.012630460795997814
11,0.3809989891568633,0.1212739058574292,no,-0.008874233540362863,0.05450373259718266
11,0.3809989891568633,0.1212739058574292,fa,0.2927217374385501,0.11082653417136903
11,0.3809989891568633,0.1212739058574292,fr,0.18081962228352108,-0.10902529489633556
11,0.3809989891568633,0.1212739058574292,ro,0.33885908342375937,-0.13956621892229706
