train,model,roi,r,r_random,SE,z,p,sig
natstor,infoxlm_base,PostTemp,0.19150910106191885,-0.04123704478109924,0.04642842504271716,18.151715766553295,1.2445205581302256e-73,***
pereira,infoxlm_base,AntTemp,0.024325138152717054,-0.024319259328063492,0.045625485216369895,2.7690812273233063,0.005621461848168607,**
pereira,infoxlm_base,IFG,0.047305792971622705,-0.015051055623390982,0.041051238262767284,3.7251198335420797,0.00019522246046624374,***
pereira,infoxlm_base,IFGorb,0.1135800691733609,-0.008982046493314792,0.05106710126662855,8.283553181643148,1.195535494396842e-16,***
pereira,infoxlm_base,MFG,-0.02504787166039064,0.04147819096508778,0.046653869172123746,-5.082443491496243,3.726101800603572e-07,***
pereira,infoxlm_base,PostTemp,-0.0012210957344420002,-0.0035647352150330433,0.038569181694366586,-0.31112304582275147,0.7557070819409981,
control,infoxlm_large,AntTemp,0.14984270492726898,0.005417514043367135,0.034976844316767224,10.276652219195908,8.979251254777116e-25,***
control,infoxlm_large,IFG,0.09934355662690825,0.013146664267151782,0.04191704335948185,6.080740109144236,1.1962906084309385e-09,***
control,infoxlm_large,IFGorb,0.12561744737513716,0.015216042768353767,0.039766760714680556,7.6592393113104045,1.8703758995378588e-14,***
control,infoxlm_large,MFG,0.08461243901420777,-0.015015437816236099,0.03735939843999458,7.720260024045309,1.160926285355151e-14,***
control,infoxlm_large,PostTemp,0.08605519894649559,-0.02141203205868873,0.0273407308111665,8.036356065523695,9.25495493116137e-16,***
main,infoxlm_large,AntTemp,0.12241237924165264,0.002920037697081851,0.040830301337004035,9.336270375436404,9.97873085626406e-21,***
main,infoxlm_large,IFG,0.11075668710394636,-0.014548894498806078,0.041564066912079485,10.151889362296325,3.2500944349872255e-24,***
main,infoxlm_large,IFGorb,0.09330514416827956,0.010308798234466211,0.041757897912056814,6.092390027018464,1.112372595663715e-09,***
main,infoxlm_large,MFG,0.10216933361641087,-0.012804458095522763,0.054754610123890456,9.292907382668703,1.5013024876785568e-20,***
main,infoxlm_large,PostTemp,0.1843237572836926,-0.03326820564296088,0.03259844912440045,17.050010926435547,3.494679629152765e-65,***
natstor,infoxlm_large,AntTemp,0.13329689627054087,-0.0405456889371569,0.0406133241917617,13.470175472627737,2.3430850699720284e-41,***
natstor,infoxlm_large,IFG,0.0576959211214276,0.02113202128565954,0.04417398469081068,2.4987873322417973,0.012461907157188647,*
natstor,infoxlm_large,IFGorb,0.09363080223377505,0.03462455909883219,0.04144328971421521,4.944714121128912,7.625568515303238e-07,***
natstor,infoxlm_large,MFG,0.08706672682677928,-0.0036374899171646435,0.056976119782664,6.779532895423976,1.2056504502519755e-11,***
natstor,infoxlm_large,PostTemp,0.15493899057920812,-0.044102726247584705,0.04741143861935881,14.658590941793358,1.1871095404903318e-48,***
pereira,infoxlm_large,AntTemp,0.0532374202545335,0.015435933855519066,0.0368709112330192,2.08817440552108,0.03678210518675393,*
pereira,infoxlm_large,IFG,0.07847700042379091,0.0165675012252385,0.04410671281881606,3.777924777093729,0.00015814062621212637,***
pereira,infoxlm_large,IFGorb,0.0725185414548408,0.011878170577654598,0.04782154932165297,3.1933237077062837,0.0014064518596720312,**
pereira,infoxlm_large,MFG,0.03187130713667637,0.04006491660089025,0.045852088747161956,0.23048789360177105,0.817712669780115,
pereira,infoxlm_large,PostTemp,0.05806882201274561,0.030089004372415202,0.011928782082672553,2.0365701917510353,0.04169313244262871,*
