dataset,perturb_type,model,r,SE
Tuckute2024,5LocalWordSwaps,xglm_med,0.11520359422703293,0.04432378079198989
Tuckute2024,5LocalWordSwaps,xglm_small,0.09158958474427403,0.10552905901758204
Tuckute2024,5LocalWordSwaps,xglm_xl,0.10868019677942493,0.03969517414717993
Tuckute2024,5LocalWordSwaps,xlm_align,0.07786630800168076,0.03988059659629007
Tuckute2024,5LocalWordSwaps,xlmr_base,0.12269051538348472,0.0416705082462915
Tuckute2024,5LocalWordSwaps,xlmr_large,0.10073990590843943,0.03698320838834588
Tuckute2024,Reversed,bert_base,0.013152535455089934,0.03670703093093541
Tuckute2024,Reversed,distilmbert,0.02286570433001066,0.028268047259315147
Tuckute2024,Reversed,infoxlm_base,0.06625822255805035,0.040762396097642754
Tuckute2024,Reversed,infoxlm_large,0.039349358045531635,0.04017870420844826
Tuckute2024,Reversed,mdeberta,0.0670225741759775,0.03305128227307003
Tuckute2024,Reversed,mgpt,-0.042293563315227295,0.05400706872529215
Tuckute2024,Reversed,mt5_base,0.04849474343752508,0.041840525401997376
Tuckute2024,Reversed,mt5_large,0.03325867115679992,0.034128994174343154
Tuckute2024,Reversed,mt5_small,0.04835316925898223,0.021893994637871644
Tuckute2024,Reversed,multiminilm,0.08995938521105926,0.034373308057742157
Tuckute2024,Reversed,nllb200_1B,0.05153142679263133,0.06075031940933746
Tuckute2024,Reversed,nllb200_distilled_1B,0.04247805167266168,0.05084705441397899
Tuckute2024,Reversed,nllb200_distilled_600M,0.03484738396070399,0.053879431136949936
Tuckute2024,Reversed,xglm_large,0.033752157819480266,0.041101184399741246
Tuckute2024,Reversed,xglm_med,0.06206124552860962,0.0428501833355929
Tuckute2024,Reversed,xglm_small,0.12548376691712565,0.10362633059679943
Tuckute2024,Reversed,xglm_xl,0.06702799107891923,0.03502051377405231
Tuckute2024,Reversed,xlm_align,0.05009016330993396,0.03784796438246818
Tuckute2024,Reversed,xlmr_base,0.04314069642387582,0.039059701299729827
Tuckute2024,Reversed,xlmr_large,0.07602302378857213,0.03498342342553066
Tuckute2024,contentwords,bert_base,-0.013694269556229528,0.038549646522024056
Tuckute2024,contentwords,distilmbert,0.00865672382013881,0.02282362138172508
Tuckute2024,contentwords,infoxlm_base,0.04226227802601899,0.052239583309509584
Tuckute2024,contentwords,infoxlm_large,0.09556522695203407,0.0340133421924366
Tuckute2024,contentwords,mdeberta,0.10699135536965348,0.027127379204319516
Tuckute2024,contentwords,mgpt,0.08861446492424138,0.042368925255621824
Tuckute2024,contentwords,mt5_base,0.044505978975617755,0.03404706214701673
Tuckute2024,contentwords,mt5_large,0.04187058744651733,0.03693566508755243
Tuckute2024,contentwords,mt5_small,0.06053807691617715,0.025422856522876347
Tuckute2024,contentwords,multiminilm,0.05542109196380154,0.03775490248476581
Tuckute2024,contentwords,nllb200_1B,0.08887713341745043,0.04967579921062226
Tuckute2024,contentwords,nllb200_distilled_1B,0.04159382475735794,0.026199032816671543
Tuckute2024,contentwords,nllb200_distilled_600M,0.007697715983596001,0.049170337235902
Tuckute2024,contentwords,xglm_large,0.042401644544695104,0.054197189679574154
Tuckute2024,contentwords,xglm_med,0.08127401265357131,0.050872514215217664
Tuckute2024,contentwords,xglm_small,0.10580178208720797,0.1074457134035852
